name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento_logistic_8_4_adaptive_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.03,1e-05,0.9193286658660978,0.9342833347309261,0.9293681313770046,0.9311896632973833
Experimento_logistic_8_4_adaptive_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.03,1e-05,0.9160235142813061,0.9307889575392053,0.9271427067492555,0.9282408894998578
Experimento_logistic_8_4_adaptive_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.03,1e-05,0.9169059741638532,0.9313904023279583,0.9263024466190715,0.9280307303823525
Experimento_logistic_8_4_adaptive_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.03,1e-05,0.9133791017013706,0.9270058368863114,0.9258193769322295,0.9257742193151757
Experimento_logistic_8_4_adaptive_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.03,1e-05,0.9149215992818617,0.9290357202645303,0.926031083740399,0.9268205393649748
Experimento_logistic_8_4_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.3,1e-05,0.8696765140946507,0.8796635333573126,0.8778832555466438,0.8752400504450824
Experimento_logistic_8_4_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.3,1e-05,0.8666696876810585,0.8672888060895847,0.8749060504670151,0.8676412870830947
Experimento_logistic_8_4_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.3,1e-05,0.861600155798028,0.8709923800515689,0.8721492577183152,0.867629721291253
Experimento_logistic_8_4_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.3,1e-05,0.8669631037038714,0.8809832253230825,0.880808699786791,0.8776373135930463
Experimento_logistic_8_4_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,adaptive,0.3,1e-05,0.8729823669863548,0.8830076777362381,0.8800117598143611,0.8779946795740698
