name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9205795276643997,0.9350782421003176,0.9301495019285522,0.9322900653707787
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9215347616257803,0.9359542273702587,0.9312000625501984,0.9332772855520229
Experimento7,True,5,knn,mad,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9215353010926363,0.936687168799579,0.9315899963597672,0.9338706372330922
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8940566397041131,0.9162276585087579,0.9077374111098724,0.9091630219956478
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9052988052967015,0.9190343458629979,0.9136512613331398,0.9149219213702399
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9001548809342703,0.9113964419465456,0.9115522826984404,0.9096716775601557
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9040496158456521,0.9212415282467059,0.9139699730620692,0.9160524986712545
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9039012085136502,0.9195831856964254,0.9155683734787738,0.9160615817440398
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9018457858467632,0.9177567941733826,0.9130077002492172,0.9136719854676043
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9081648308609568,0.9223534281908614,0.91872261382305,0.9193384215461172
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9014772220909519,0.9183214920522735,0.911925073493248,0.9134065584959975
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9045636738124447,0.9206010743920766,0.9161382031304764,0.9166087003810823
Experimento8,True,5,knn,mad,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9041966205638291,0.9214324914719491,0.9147939540447385,0.9165449242066799
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9235923961067757,0.9379247731528668,0.9330181547336174,0.9352161472193388
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9243267723374343,0.938827642567657,0.9333349676577495,0.9357967236385297
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9226366766252247,0.936083310035265,0.9316626738421313,0.9336357518279128
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9232983327237358,0.9380404729496558,0.9328672739683466,0.9351821184197672
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9213149828287699,0.9366340738708772,0.9315154065268707,0.9337626696833745
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9252817905120727,0.9393312065509292,0.9339156783662578,0.9363099603190099
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9235190286144009,0.9379873602021396,0.9325655461007841,0.9349728132813239
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.92322485733799,0.9380406027416933,0.9328976604902234,0.9351975850137245
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9227844905436855,0.9367466967191366,0.931985260080228,0.9340937238443521
Experimento9,True,5,il,3sigma,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9224167359881574,0.9377992809297779,0.9329395357083344,0.9351133341885072
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8735660161775322,0.8690536598283449,0.8745007624129151,0.8656630013087305
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8830427764848554,0.8869530291579302,0.8822291658181569,0.8800053577691338
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8807654171535354,0.88670688207358,0.8767926799920314,0.8777885116619011
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8777544907918402,0.8839361375382444,0.8714779368505967,0.8727952939903144
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8711414902879782,0.8695050172913111,0.8700940436129028,0.8645033117307355
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8878143608234854,0.9032077469232014,0.8947052616787656,0.8961881323986154
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8842143366553703,0.8939006319277196,0.8945672627065365,0.8909419474510077
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.884583979344893,0.897383266313095,0.8928154664161247,0.8898110088287323
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8765753780853458,0.8947902635877989,0.8820709960091111,0.8817428307332207
Experimento10,True,5,il,3sigma,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.891192448327167,0.8999695001522806,0.9029806275197256,0.8991301337354353
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9271190527825162,0.9414941162395485,0.9362761012772088,0.9385372625413341
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9251349476339523,0.9393386889454666,0.9350848615284816,0.9369680223691796
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9272650325136675,0.941236116648818,0.936745562778005,0.938734256565966
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9242534587917455,0.9384604900911766,0.934261280985288,0.9361283234012966
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9254284715501365,0.939721790779416,0.935011754571281,0.9370922970202642
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9271924202748908,0.9417637449480368,0.9369604787770248,0.9390475984303881
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9263837055115172,0.9414591514043213,0.9369049677947473,0.9389407712348431
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.925869593598039,0.9400737600866176,0.9351564252061925,0.9373077193718421
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9266774991611291,0.9408518115891,0.9366893641008099,0.9384476945727434
Experimento11,True,5,il,3sigma,zscore,knn,10,-1,-1,-1,-1,-1,-1,-1,0.92770615456157,0.9413864226312334,0.9363997737712723,0.9386352336632562
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.90647263122801,0.9235520156014443,0.9201671526304922,0.9200244935730849
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9071341794331499,0.9238668930731008,0.9185739430386068,0.9195876736856186
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9092646419396638,0.9255671456222613,0.9199815961068316,0.9208272120693588
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.909412887431609,0.9213520894980427,0.9176136859135259,0.9176294788503954
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9151431043728104,0.9279577249156666,0.9246389780242172,0.9250758976040313
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9104407875784519,0.9226089808552953,0.9207579684121526,0.9197546265458196
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9118375212145342,0.9290280925978653,0.9226037669096128,0.9243043333638502
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9102941065403882,0.926433040051825,0.9213256386659333,0.9224600560477351
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9094858772971847,0.9228611781481515,0.9202482657483235,0.9203076313067762
Experimento12,True,5,il,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8993459503841542,0.9008724092082161,0.8982214367292322,0.8969504531040361
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.924841693451196,0.938820655073276,0.9335628279396566,0.9358767714781406
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9243272578576045,0.9378277770369768,0.9329809822138906,0.9350712318429297
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9224904271606457,0.9364567157609104,0.9320318110727479,0.9340339481895571
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9216815505572153,0.93706988058374,0.9317832493649025,0.9341772519606744
