Experiment,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9308640856414423,0.9435547353705642,0.9403983233039547,0.9418025263417041
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9313792225419462,0.9423513635115948,0.9405040194436529,0.941263866199199
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9316731240849295,0.94377949150831,0.9405864046664745,0.9419676442881773
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9310121692933307,0.9430354149682287,0.940175696558622,0.9414244471057099
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9316001342193536,0.9445555163770551,0.9410700151250662,0.9426259169257181
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9306447923646021,0.9429907408491577,0.9401233146229568,0.9413688424085425
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.930937830760616,0.9429488479746683,0.9399284178462455,0.9412376810526206
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9309375070805024,0.9427790589681588,0.9400654487252744,0.9412443352714407
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.931746491577304,0.9434983591168542,0.9413596585837564,0.9422251327054738
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9313788988618329,0.942859884937729,0.9407115471512132,0.9416056650905864
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9291746372894597,0.9414607576100981,0.9379060730017388,0.9393657302594797
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9303495421544795,0.9424991213483086,0.9393844239161705,0.9407355591887626
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9304233951670243,0.9416714580782388,0.9392889811356762,0.9403668147455739
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.931011899559903,0.9428334499609337,0.9405911652691413,0.9415213797300238
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9315263351534945,0.9434442607722616,0.9408963500881631,0.9419890941599348
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.929836239441285,0.9421127324776577,0.9395839704847427,0.9406760411700436
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9321874517851498,0.9444251744200537,0.9414499313978586,0.9427402270301748
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9313781436082348,0.9434328710143081,0.9403902368906266,0.9416418885041548
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9327748232976314,0.9436855933091328,0.941790609606471,0.9426204802036752
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9315259575266955,0.9430373246530402,0.9411771926495611,0.9419373849404664
