Test ID, First Layer Neurons, Second Layer Neurons, Learning Rate, Activation Function, Accuracy, Precision, Recall, F1-Score
759,10,7,0.003,logistic,88.32755024864028,90.96179003637002,90.0061727909501,89.20659551386434
760,10,7,0.003,logistic,88.04095308688329,90.8558120316506,89.76104565818098,89.07920019478681
761,10,7,0.003,logistic,88.47453338814316,91.06283870332582,90.1006800677749,89.36896930816698
762,10,7,0.003,logistic,88.5625528003185,91.08728447888431,90.27190763995299,89.43941546743687
763,10,7,0.003,logistic,87.72502511218214,90.68050950153484,89.60030640379244,88.84597454506513
764,10,7,0.003,logistic,88.54063426197158,91.08172161277595,90.08784229160567,89.40102961083056
765,10,7,0.003,logistic,87.78387555146999,90.65515107730417,89.63930270926433,88.94562342290826
766,10,7,0.003,logistic,88.79026176010771,91.1561512752599,90.27778265427371,89.65268344882901
767,10,7,0.003,logistic,88.70223155859527,91.37757022510172,90.19275022240883,89.5999231712253
768,10,7,0.003,logistic,88.23954162580205,90.77184037571587,89.85318486865073,89.07853081387907
769,10,7,0.003,logistic,88.19526758095509,90.77515053212875,89.87726171167961,89.11381798332594
770,10,7,0.003,logistic,88.09973879014848,90.96284857848089,89.8399238128404,89.2125230112357
771,10,7,0.003,logistic,88.55519986707536,91.22468634802955,90.31342756238712,89.633554298431
772,10,7,0.003,logistic,88.19537547432624,90.94700382633147,89.90164543092023,89.10211347471213
773,10,7,0.003,logistic,88.53316264602017,91.31467324308143,90.23207399460688,89.54684200312467
774,10,7,0.003,logistic,88.21742348471852,91.13185254517164,89.83845476823176,89.21232717096146
775,10,7,0.003,relu,87.73237265075672,90.69511419638478,89.43919367731922,88.6451114699522
776,10,7,0.003,relu,87.93829793891292,90.89449930301662,89.60584644713119,89.02974807802202
777,10,7,0.003,relu,87.60752383634302,90.82409680384147,89.46632955349635,88.71396535107733
778,10,7,0.003,relu,88.31302240621636,91.1957026582747,89.91633828998027,89.17851564039798
779,10,7,0.003,relu,88.18811425044856,90.89835611018749,89.79441283271574,89.09487833061924
780,10,7,0.003,relu,87.64434784391281,90.80206299966271,89.41765765417384,88.75646104094335
781,10,7,0.003,relu,87.90862726184965,90.94411567522212,89.58147191679237,88.99445255322259
782,10,7,0.003,relu,87.67385668091939,90.28999061941741,89.3436595146752,88.27473824543917
783,10,7,0.003,relu,88.0851192383591,90.90324996706514,89.7301595896816,89.09017972547387
784,10,7,0.003,relu,88.46705637752322,91.36447509229481,90.09906399375167,89.45747412704674
785,10,7,0.003,relu,88.4891421505954,91.12269302648659,90.09827707510078,89.53672030373905
786,10,7,0.003,relu,88.5553185497836,91.12336109727379,90.03370584146143,89.25266159193362
787,10,7,0.003,relu,87.90867041919812,91.07903062361737,89.66181496915834,88.97921687712156
788,10,7,0.003,relu,88.75358880325751,91.62348783125654,90.53007245190852,89.87263873254706
789,10,7,0.003,relu,88.57750682155839,91.44467814513504,90.12430605190576,89.48792338709109
790,10,7,0.003,relu,87.40916187350365,90.3894408615191,89.21508843591191,88.27561804828503
791,10,7,0.003,relu,88.43045894603281,91.1669290099464,90.05732070230643,89.38806757887339
792,10,7,0.003,relu,88.48183237470073,91.1989440461916,89.97977616641933,89.37116368878883
793,10,7,0.003,relu,87.84253178268982,90.83071174420509,89.53015687357441,88.94402463507814
794,10,7,0.003,relu,87.49004413917814,90.30313576137353,89.19700906473086,88.27320890570404
795,10,7,0.003,relu,88.0042909193702,91.13004005418425,89.69847631131515,88.99648550317481
796,10,7,0.003,relu,88.31279043546844,91.05496512683446,89.9386126775244,89.41905637777786
797,10,7,0.003,relu,87.93096658434403,91.1124971491948,89.66121319349128,88.98815590431113
798,10,7,0.003,relu,87.59998208970039,90.95556369676224,89.65454535191826,88.8588261828397
799,10,7,0.003,relu,88.09256927563627,91.01217816347192,89.81831540931442,89.12079197644105
800,10,7,0.003,tanh,88.1879200423805,90.99154066773298,89.80309055055015,89.17189257600026
801,10,7,0.003,tanh,87.68841149668604,90.55864594171433,89.53021249380433,88.86432625392987
802,10,7,0.003,tanh,87.9087351552208,90.79477089405886,89.59986952610525,89.02005784757033
803,10,7,0.003,tanh,87.38705452175722,90.71446631484234,89.23296294909821,88.63038024238774
804,10,7,0.003,tanh,88.41565058084397,90.89882940050067,90.03781871838562,89.38585265065544
805,10,7,0.003,tanh,87.32100219994585,90.30996979003282,89.30302164163861,88.37062109904237
806,10,7,0.003,tanh,87.62957184673532,90.65080237381463,89.45281721928131,88.7474306945081
807,10,7,0.003,tanh,88.07032166250737,91.20579316475566,89.90639340850277,89.25541673181424
808,10,7,0.003,tanh,87.84251020401558,90.87333460855257,89.6847632448951,88.9978637008657
809,10,7,0.003,tanh,88.24674890299414,91.14471438234929,89.8691947213482,89.24549390051148
810,10,7,0.003,tanh,88.06308201730394,90.88500976334606,89.83204617395411,89.16895744570589
811,10,7,0.003,tanh,88.48908820390984,91.1725148061179,90.04190727222307,89.5612675914002
812,10,7,0.003,tanh,87.8792425022199,90.8343723976899,89.5203773567798,88.88898492631142
813,10,7,0.003,tanh,87.959995295849,90.6307539282435,89.8073913371247,89.01175154170507
814,10,7,0.003,tanh,88.22479260196732,90.82991962418421,89.66360181963611,89.02693601646551
815,10,7,0.003,tanh,88.04839233482336,90.95092252956005,89.81175438014178,89.0452176555003
816,10,7,0.003,tanh,87.67377576089102,90.62576846718088,89.43847743093156,88.66457595187191
817,10,7,0.003,tanh,87.8278528895463,90.78022841640008,89.59106445121921,88.84132438395686
818,10,7,0.003,tanh,87.4017603882435,89.9741149882914,89.16327453683061,88.26322512946028
819,10,7,0.003,tanh,87.1082094987166,89.75604092145136,88.8520414175751,87.98479464836697
820,10,7,0.003,tanh,88.18059408248017,90.96886399392643,89.84055187894751,89.25403413535926
821,10,7,0.003,tanh,87.10072169875956,90.05304688597002,88.86197002219284,88.09366452545616
822,10,7,0.003,tanh,87.79832786853407,90.84429919671176,89.69610527391563,89.02048877197728
823,10,7,0.003,tanh,87.45347907569908,90.25213219526395,89.08916948028045,88.32105737961695
824,10,7,0.003,tanh,88.12930157384059,90.54079447268263,89.73491672677184,89.1485980914949
825,10,7,0.001,logistic,88.67286837763976,91.29896552461432,90.23369721243493,89.58850094793954
826,10,7,0.001,logistic,88.61408267437456,91.45121444178838,90.23064670691895,89.6267366206813
827,10,7,0.001,logistic,87.81357859654462,90.65935282172816,89.50084116630819,88.75479510792583
828,10,7,0.001,logistic,88.46727755893404,91.27786461834238,90.08614535759196,89.39381683820346
829,10,7,0.001,logistic,88.73159473955079,91.26221873637415,90.30342203828393,89.58340471359477
830,10,7,0.001,logistic,88.5921695306962,91.2531016863668,90.2635023067363,89.57354679105134
831,10,7,0.001,logistic,89.30461643367093,91.77924947503125,90.81788813988675,90.2184864738764
832,10,7,0.001,logistic,88.60697789588507,91.1338289883067,90.09781241417537,89.42667119583605
833,10,7,0.001,logistic,88.68750411343477,91.27699005316842,90.365109502046,89.66727916346629
834,10,7,0.001,logistic,88.56998665359,91.19954421439009,90.2807324311109,89.56920359943062
835,10,7,0.001,logistic,88.72434430501025,91.38664455563452,90.18418239809056,89.63911883275341
836,10,7,0.001,logistic,88.88585528693703,91.59442044962309,90.63398618242061,90.00266129534455
837,10,7,0.001,logistic,88.51849454221382,91.17504818725885,90.12649821090089,89.38223240330613
838,10,7,0.001,logistic,88.46717506023148,90.97130327050729,90.10632594732166,89.27168369097267
839,10,7,0.001,logistic,88.20268525022092,90.91312142941771,89.85447979385177,89.13738409444335
840,10,7,0.001,logistic,88.07792275050413,90.9817810638416,89.7645467427082,89.0985983868044
841,10,7,0.001,logistic,88.60672974113143,91.28688052470896,90.09865387470609,89.48858576932695
842,10,7,0.001,logistic,88.5258312914513,91.19483034571829,90.23925589948826,89.42132641276729
843,10,7,0.001,logistic,88.70228011061229,91.06481092913101,90.1133805260805,89.46980879330242
844,10,7,0.001,logistic,88.52594997415954,91.10761744264154,90.09273797504108,89.4324769917845
845,10,7,0.001,logistic,88.3202890247626,90.9471529312102,89.99409030386873,89.2926703434665
846,10,7,0.001,logistic,88.34228848313789,90.85904252293403,89.95584064667754,89.19710110282857
847,10,7,0.001,logistic,88.8933269028884,91.48889084710467,90.55881855530336,89.86312929832178
848,10,7,0.001,logistic,88.44512165517064,90.89529629815681,90.11195374197814,89.30533154769557
849,10,7,0.001,logistic,89.17970827790309,91.57794248882014,90.74602016295128,90.07369077788476
850,10,7,0.001,relu,88.70942804645026,91.58372119922282,90.4435353333573,89.78286286176865
851,10,7,0.001,relu,88.36428254684459,91.30018527339257,90.02133752361013,89.3667267682919
852,10,7,0.001,relu,88.86394214325867,91.4298573413617,90.39463416135506,89.7486013169063
853,10,7,0.001,relu,88.28332475581033,91.26072672736643,90.06133881304056,89.358702695824
854,10,7,0.001,relu,87.938163072199,90.95128375731824,89.75760788813216,89.02043268199809
855,10,7,0.001,relu,88.01892126049667,91.00668227827354,89.74575219014883,88.98848685366119
856,10,7,0.001,relu,88.5920832159993,91.21046860502506,90.06181955938018,89.41261213935825
857,10,7,0.001,relu,88.3347413418267,91.22482914429155,90.02462377372294,89.41671303119726
858,10,7,0.001,relu,88.64356453803836,91.32343226905975,90.21925012476638,89.49054903657839
859,10,7,0.001,relu,88.74619271266593,91.38079635493656,90.42011768321115,89.78138319616257
860,10,7,0.001,relu,88.61409885838026,91.32000523017417,90.23118470154942,89.51088222243435
861,10,7,0.001,relu,88.24684600702817,91.01851067371094,89.89960147419748,89.19514539223312
862,10,7,0.001,relu,88.51842441152257,91.42606269103443,90.19124599796046,89.63985480478419
863,10,7,0.001,relu,88.40100945038039,91.25195238319799,90.06440131690428,89.47966010956902
864,10,7,0.001,relu,88.68738003605797,91.52488405759141,90.37948121177047,89.77008633386873
865,10,7,0.001,relu,88.378999202668,91.15893220869445,90.09184606274262,89.40678819738427
866,10,7,0.001,relu,88.29071005706479,91.19530536261502,90.07314575019869,89.4189986032942
867,10,7,0.001,relu,88.53333527541402,91.29914169642652,90.19820672309274,89.59173027187724
868,10,7,0.001,relu,88.43022697528487,91.1815937781616,90.16572025899897,89.59489099007516
869,10,7,0.001,relu,88.43766082855635,91.2403323573726,90.11821725099368,89.42432812333335
870,10,7,0.001,relu,88.12909118176687,90.8492605533899,89.89769551573372,89.20229548724654
871,10,7,0.001,relu,88.00422078867896,91.1220212551396,89.95084617167974,89.24508725747
872,10,7,0.001,relu,88.72427417431898,91.42421713566449,90.36853163463006,89.76837142507344
873,10,7,0.001,relu,88.64351059135277,91.2501149382666,90.23825025241558,89.61143253291584
874,10,7,0.001,relu,88.59924733584295,91.33089519607309,90.24412902540024,89.66251807460036
875,10,7,0.001,tanh,88.3128713554968,91.17342721688996,89.8974190764852,89.31170214457283
876,10,7,0.001,tanh,87.72501432284501,90.78680483604012,89.26733807629883,88.72889672601613
877,10,7,0.001,tanh,88.12920446980657,90.74124145517357,89.7166598172914,88.92288868405936
878,10,7,0.001,tanh,88.3275340646346,91.18018866657158,89.97312259168908,89.44567826016086
879,10,7,0.001,tanh,88.5038426224131,91.2358454026115,90.2377920686374,89.56745323951422
880,10,7,0.001,tanh,88.27599340124144,91.13224455227551,89.86921144393905,89.32497468510695
881,10,7,0.001,tanh,87.98222133030367,90.76808189391737,89.79898321248591,88.99861563830177
882,10,7,0.001,tanh,88.02632274575683,90.73313716577138,89.61249667216109,88.98551180081853
883,10,7,0.001,tanh,88.59175953588586,91.28753520691951,90.2874947658182,89.6258488547459
884,10,7,0.001,tanh,88.46713190288303,91.34408260673807,90.15998127712179,89.5386200754375
885,10,7,0.001,tanh,88.07763143840207,90.69143144518348,89.85845671030195,89.0159873139042
886,10,7,0.001,tanh,88.80507551996513,91.33310705621126,90.41859577261503,89.75886411981706
887,10,7,0.001,tanh,88.40837856762919,90.93672152130965,90.05025622597829,89.35440431897582
888,10,7,0.001,tanh,88.01906152187915,90.66228105310371,89.51321960807637,88.72363434090434
889,10,7,0.001,tanh,89.02545312518544,91.78690981420677,90.63505337556886,90.11693893577981
890,10,7,0.001,tanh,88.19521902893808,91.0307826042552,89.90798390074218,89.27000757586411
891,10,7,0.001,tanh,88.89314348415749,91.38202935838157,90.44642192539177,89.86062600782819
892,10,7,0.001,tanh,88.14381862692737,90.84818572951133,89.65226844953753,88.94518170382858
893,10,7,0.001,tanh,87.68108014211714,90.52370375816385,89.33004101452863,88.62254257310398
